1.898909092851767400e-01,3.220850251998476077e-01,3.964312052052805790e-01,4.789307371906385558e-01,4.983103519532636194e-01
2.179957379898364855e-01,3.545099748123923811e-01,4.249637259686861457e-01,4.825514160491352622e-01,4.947830251226919551e-01
2.458014737493516011e-01,3.742002625272164984e-01,4.332537110605563790e-01,4.625985263735775121e-01,4.761169820543054709e-01
2.627145154964627971e-01,3.775532780407006572e-01,4.197827936310946639e-01,4.270330967480018836e-01,4.453780949541223388e-01
2.722477735139942623e-01,3.627510932011175360e-01,3.855553231331723119e-01,3.760208058833900968e-01,4.030104974324022482e-01
2.736964541531753947e-01,3.308274867245761253e-01,3.337727765480545394e-01,3.226452209678537519e-01,3.603116884918028950e-01
2.660707063739362055e-01,2.918342350600171553e-01,2.801848752392731567e-01,2.594957075263525925e-01,3.113263547434824141e-01
2.511687232406457082e-01,2.417742293909201923e-01,2.228540507925228231e-01,2.045807332996520955e-01,2.503142754756391697e-01
2.269103668502491233e-01,1.847425372706638369e-01,1.628160117840079246e-01,1.624570823429537236e-01,2.137662245578064446e-01
1.799164432456244467e-01,1.170794364914487934e-01,9.745378486721575917e-02,9.712186121008954676e-02,1.601985312640633319e-01
1.175200707783108367e-01,6.018046150564034663e-02,5.081535885388823587e-02,5.469003139970870370e-02,1.126304977487214004e-01
