9.723133080398094208e-01,2.599480821383803431e+00,5.115168887636164285e+00,4.966061931465083035e+01,1.198448876899904644e+04
1.206647237114596871e+00,3.171375684293105124e+00,6.613022329819935763e+00,6.927166932253210518e+01,1.641033948812438030e+04
1.423750179854087694e+00,3.669605902880438197e+00,8.181191424605263052e+00,9.192252206374904233e+01,2.133530160400789464e+04
1.629676846289687342e+00,4.116480891442051870e+00,9.906039804521874714e+00,1.177235945197155473e+02,2.685813112722494407e+04
1.790922266218204273e+00,4.524708282145981642e+00,1.180620008773906982e+01,1.464409964762407981e+02,3.293041676580646890e+04
1.881652907193747559e+00,4.873847469340469196e+00,1.384954620813045167e+01,1.768774248801710485e+02,3.936140309953792894e+04
1.908637321038799906e+00,5.166510639536602945e+00,1.596605194486330248e+01,2.088813023883307380e+02,4.612234537597261806e+04
1.849660376851812504e+00,5.498695923955508214e+00,1.823372047761671411e+01,2.419191854532637365e+02,5.316978691672615969e+04
1.720425150050882701e+00,5.908547681214299629e+00,2.060420966495344786e+01,2.756779384150133865e+02,6.038399523513419263e+04
1.534093537188223388e+00,6.408431109524604707e+00,2.308722418743926141e+01,3.101702428511129597e+02,6.769869965267532098e+04
1.305048305333292413e+00,6.981941492442823360e+00,2.567306489494477972e+01,3.452407305960711597e+02,7.506912610746317660e+04
